"boot1" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"1" 1 1 -78.178259 -1.313636 -6.35374091730858 1.01451228917648 -0.89716520042315 -6.39047017535774 -1.51721406933233 -5.99252151845033
"2" 0 1 -78.317138 -0.361018 -4.93713173944502 -1.52905432830907 -1.30148729488387 -5.72127294523138 -2.07011299946903 -5.01602444684082
"5" 0 1 -78.223071 -0.320285 -5.37300029198666 -0.282559925798041 -1.48951513769996 -6.13423992523031 -2.2668948200787 -5.53170186682419
"6" 1 1 -78.381822 -0.249705 -6.85277663757331 4.45237092364946 -0.897884645806818 -8.63747469601339 -2.80217952110954 -7.20703465363123
"7" 0 1 -78.231215 -0.540592 -4.4523857240344 -1.64730856286367 -1.53029997062238 -5.70200123501899 -2.04015670555021 -4.76336199174038
"10" 0 1 -78.678449 0.114286 -10.4982147343667 2.61157196694694 -0.0685549159403986 -9.35738895592095 -2.27456182858906 -6.22920110180231
"14" 0 1 -75.346832 -11.359317 -3.44597539186173 2.94147177407253 -1.69934523657538 -8.14515298077841 -1.96871748581432 -6.83797619081142
"15" 0 1 -75.957722 3.570806 -6.53393354624747 -3.35273775245853 -1.63105234113134 -7.13060840265547 -1.37888054093989 -5.503002194918
"19" 0 1 -75.34645 -11.30368 -5.32278941547125 4.65350237199073 -0.814641423824182 -8.26272310169364 -2.14892761834354 -7.2442789050775
"28" 0 1 -75.839639 3.801611 -6.7209979967752 -2.27926308267075 -1.69143657857745 -7.04758922430495 -1.36256776717953 -5.5790478875756
"31" 1 1 -75.832889 3.884667 -7.30871804460942 0.455795852133937 -1.47173952758961 -6.42016517736455 -1.8193765698902 -5.95646380044282
"32" 0 1 -75.833667 3.888889 -6.87645020173557 -0.910801034674525 -1.75850241806914 -6.69733823862541 -1.37775733332439 -5.7699396839021
"33" 0 1 -73.987053 4.761162 -6.06161857456997 1.30722588881326 -0.933336099130949 -6.32309527490495 -1.9563989482972 -5.4027865587837
"34" 0 1 -75.889941 5.535894 -11.1911844397467 0.656239988428594 0.272538149985748 -7.66360942880285 -1.81658481364155 -6.92625719489011
"38" 0 1 -75.854978 -9.774358 -5.23736875201625 6.08304609941246 -0.615358396156036 -7.9907358490159 -2.43592084556464 -7.97995856245227
"40" 1 1 -76.018031 1.937145 -9.96311240986937 4.57204652625512 0.200372444166001 -6.44342805300365 -2.62384078104434 -7.00042988201008
"44" 0 1 -76.051389 3.463611 -7.54309232080135 -1.02556408863091 -1.86677530742632 -7.46226432042761 -0.952191349831597 -5.55649277600265
"45" 0 1 -76.501529 -9.302172 -5.53009785860314 5.77579668955871 -0.664220394237578 -8.09080089079902 -2.49320319199633 -7.81496900937076
"49" 0 1 -75.779389 3.734833 -7.45819151725257 -0.375752531059858 -1.46242078546645 -6.67376962265444 -1.59675718588394 -5.99866413963492
"51" 0 1 -76.017667 3.638361 -8.03302919815255 1.11352145210726 -1.2924887225002 -6.75089542425119 -1.83388959607708 -6.25268890739234
"79" 0 1 -73.8 4.7769 -7.22205713641909 1.28903739546234 -0.737555661230799 -6.92374223631985 -1.37856415284322 -5.44440791374079
"80" 1 1 -73.628 4.714 -9.30332330509068 2.78692227311216 -0.497210944377171 -7.81962029292082 -0.827409378824834 -5.97617488757338
"94" 0 1 -78.681025 0.181488 -10.7743175907352 3.23175111213817 -0.193275065362611 -8.99698567515468 -2.11186071060121 -5.98749197778348
"98" 0 1 -73.80576 4.49452 -9.21636873529743 1.11313928646414 -0.590975210341783 -8.30388706304888 -0.647864979852714 -5.69404881641455
"99" 1 1 -72.386833 6.008583 -6.05260285929546 1.50614274829595 -1.42497601666013 -7.07935390416504 -0.876962224847788 -5.3579318288044
"100" 0 1 -73.79391 4.609065 -7.02909014852448 0.107848137087129 -0.880638515043985 -7.20323622177072 -1.00652250561732 -5.2199044407312
"101" 0 1 -75.328146 4.781405 -6.62309909631491 -2.74955151072991 -1.32186364849085 -6.82927795086498 -1.36021433485529 -5.50474686293187
"102" 0 1 -73.209778 5.9175 -8.25960186614317 2.25640377387535 -0.476673327548528 -7.87653690124316 -1.97724092685113 -6.26508255561142
"104" 0 1 -74.277556 5.948944 -13.6791373441069 4.24099874702534 0.934051214064679 -7.97649454702849 -1.49175807598207 -7.28549768121801
"110" 0 1 -76.028914 5.761945 -10.5104933450826 -0.830944870713442 -0.157728549983287 -7.473969614009 -1.53760449378305 -6.62919776329367
"113" 1 1 -76.495444 -9.315278 -6.69513711591247 6.89818578918262 -0.230674039836209 -7.81580705802319 -2.67299241785446 -8.07045788841857
"115" 1 1 -73.712269 -12.587613 -9.30260436597914 7.05394961000206 0.550855144632631 -9.09290720841402 -2.4699745757019 -7.52128458096984
"116" 1 1 -75.9055 1.699417 -10.5252121702318 3.83495525544777 -0.0618703780908607 -6.70624533331837 -1.8791570274884 -6.9488580679073
"118" 0 1 -74.636314 -11.45961 -10.2086733921026 5.52075817719308 0.757485858139181 -9.01859115712077 -2.24112434241326 -7.22987469706728
"120" 0 1 -78.662302 0.191116 -9.5672956821215 4.15140587681042 -0.506007262801619 -8.20217149865355 -2.19021480005291 -6.26680919298522
"122" 0 1 -74.670493 -11.461118 -8.08334331785002 4.91727893145086 0.153809148374063 -9.11890797914654 -2.21683571978315 -7.23666692344448
"123" 0 1 -78.160041 -0.235614 -5.65509234438937 -1.24440397832274 -1.17617315182011 -5.83960777978267 -1.80084707040912 -5.50697038118213
"124" 0 1 -76.563027 3.941417 -8.97971095478664 2.27398997019149 -0.844178844247048 -6.9515428704169 -1.73134404103311 -6.57221500581065
"125" 0 1 -75.444542 -10.636218 -6.92994678842893 5.36044863468227 -0.303595290850001 -8.67345174175788 -2.3230494657001 -7.38817623380034
"127" 0 1 -75.307549 -11.403532 -6.7061618672512 4.57152060629597 -0.281484775096767 -8.64668474848229 -2.26645363146851 -7.17665813411026
"128" 0 1 -76.385995 2.306733 -7.3000556731398 -2.47083197567497 -1.03288906186447 -7.21766218663959 -1.05625942879372 -5.76173462450862
"130" 0 1 -75.630667 4.068417 -7.07815930150308 1.5814464696401 -1.42320138680355 -5.95639313114855 -2.00893579633978 -5.93944153788515
"133" 0 1 -72.570912 -13.281063 -4.39213854662321 4.1769039005445 -1.12734620038738 -9.31139369536813 -1.76085741677866 -7.26496196805368
"136" 1 1 -72.563153 -13.40084 -3.01081965057626 3.26649493283909 -1.34907756855181 -9.17047623502457 -1.5581416634844 -7.11244760740157
